Case ID,Case Type,Court,Judge Name,Date,Plaintiff,Defendant,Case Summary,Key Arguments,Verdict,Appeal Status,Legal References,Outcome Summary
2911,Civil Dispute,NCLT,Justice Nair,2015-11-17,Party_386,Party_516,Legal dispute over civil dispute issue.,Arguments presented based on Hindu Marriage Act 1955.,Guilty,Appeal Dismissed,"Article 300A, Transfer of Property Act 1882","Guilty with reference to Article 300A, Transfer of Property Act 1882."
2912,Constitutional,Family Court,Justice Nair,2021-08-14,Party_184,Party_620,Legal dispute over constitutional issue.,Arguments presented based on Companies Act 2013.,Not Guilty,No Appeal,"IPC Section 378, 323","Not Guilty with reference to IPC Section 378, 323."
2913,Constitutional,NCLT,Justice Kumar,2020-03-31,Party_138,Party_607,Legal dispute over constitutional issue.,"Arguments presented based on IPC Section 378, 323.",In favor of Defendant,Appeal Pending,"Article 300A, Transfer of Property Act 1882","In favor of Defendant with reference to Article 300A, Transfer of Property Act 1882."
2914,Constitutional,NCLT,Justice Reddy,2019-06-08,Party_387,Party_936,Legal dispute over constitutional issue.,Arguments presented based on Hindu Marriage Act 1955.,Joint Custody,No Appeal,"Article 300A, Transfer of Property Act 1882","Joint Custody with reference to Article 300A, Transfer of Property Act 1882."
2915,Constitutional,District Court,Justice Nair,2016-02-17,Party_476,Party_691,Legal dispute over constitutional issue.,Arguments presented based on Companies Act 2013.,Joint Custody,Appeal Dismissed,"Article 300A, Transfer of Property Act 1882","Joint Custody with reference to Article 300A, Transfer of Property Act 1882."
2916,Family Law,NCLT,Justice Sharma,2022-01-21,Party_179,Party_711,Legal dispute over family law issue.,"Arguments presented based on Constitution of India, Article 21.",Not Guilty,No Appeal,"Constitution of India, Article 21","Not Guilty with reference to Constitution of India, Article 21."
2917,Constitutional,Family Court,Justice Nair,2016-01-13,Party_193,Party_895,Legal dispute over constitutional issue.,Arguments presented based on Hindu Marriage Act 1955.,In favor of Defendant,Appeal Dismissed,"IPC Section 378, 323","In favor of Defendant with reference to IPC Section 378, 323."
2918,Corporate Law,Supreme Court,Justice Reddy,2024-05-16,Party_169,Party_715,Legal dispute over corporate law issue.,"Arguments presented based on Constitution of India, Article 21.",Joint Custody,Appeal Dismissed,"Constitution of India, Article 21","Joint Custody with reference to Constitution of India, Article 21."
2919,Civil Dispute,District Court,Justice Reddy,2023-11-30,Party_78,Party_689,Legal dispute over civil dispute issue.,Arguments presented based on Hindu Marriage Act 1955.,Guilty,No Appeal,Hindu Marriage Act 1955,Guilty with reference to Hindu Marriage Act 1955.
2920,Family Law,NCLT,Justice Kumar,2015-02-13,Party_311,Party_828,Legal dispute over family law issue.,Arguments presented based on Hindu Marriage Act 1955.,In favor of Plaintiff,Appeal Pending,Companies Act 2013,In favor of Plaintiff with reference to Companies Act 2013.
2921,Family Law,NCLT,Justice Kumar,2017-01-28,Party_289,Party_508,Legal dispute over family law issue.,"Arguments presented based on IPC Section 378, 323.",Guilty,Appeal Pending,"Constitution of India, Article 21","Guilty with reference to Constitution of India, Article 21."
2922,Corporate Law,Family Court,Justice Kumar,2021-02-17,Party_29,Party_886,Legal dispute over corporate law issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",Guilty,Appeal Pending,Hindu Marriage Act 1955,Guilty with reference to Hindu Marriage Act 1955.
2923,Corporate Law,Supreme Court,Justice Mehta,2019-01-08,Party_257,Party_820,Legal dispute over corporate law issue.,Arguments presented based on Companies Act 2013.,Not Guilty,No Appeal,"IPC Section 378, 323","Not Guilty with reference to IPC Section 378, 323."
2924,Criminal Case,Supreme Court,Justice Reddy,2015-10-07,Party_182,Party_936,Legal dispute over criminal case issue.,Arguments presented based on Companies Act 2013.,In favor of Plaintiff,Appeal Pending,"IPC Section 378, 323","In favor of Plaintiff with reference to IPC Section 378, 323."
2925,Civil Dispute,Family Court,Justice Reddy,2016-07-06,Party_391,Party_693,Legal dispute over civil dispute issue.,"Arguments presented based on Constitution of India, Article 21.",Guilty,Appeal Dismissed,Companies Act 2013,Guilty with reference to Companies Act 2013.
2926,Criminal Case,Supreme Court,Justice Reddy,2021-07-04,Party_297,Party_715,Legal dispute over criminal case issue.,Arguments presented based on Hindu Marriage Act 1955.,In favor of Defendant,Appeal Dismissed,Hindu Marriage Act 1955,In favor of Defendant with reference to Hindu Marriage Act 1955.
2927,Civil Dispute,High Court,Justice Mehta,2018-06-30,Party_356,Party_906,Legal dispute over civil dispute issue.,Arguments presented based on Hindu Marriage Act 1955.,In favor of Plaintiff,No Appeal,"Article 300A, Transfer of Property Act 1882","In favor of Plaintiff with reference to Article 300A, Transfer of Property Act 1882."
2928,Family Law,High Court,Justice Kumar,2018-12-05,Party_44,Party_911,Legal dispute over family law issue.,"Arguments presented based on IPC Section 378, 323.",In favor of Defendant,Appeal Dismissed,Hindu Marriage Act 1955,In favor of Defendant with reference to Hindu Marriage Act 1955.
2929,Corporate Law,Family Court,Justice Sharma,2015-03-13,Party_44,Party_559,Legal dispute over corporate law issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",In favor of Plaintiff,Appeal Pending,Companies Act 2013,In favor of Plaintiff with reference to Companies Act 2013.
2930,Criminal Case,Supreme Court,Justice Kumar,2017-12-15,Party_273,Party_543,Legal dispute over criminal case issue.,"Arguments presented based on IPC Section 378, 323.",In favor of Plaintiff,Appeal Dismissed,"IPC Section 378, 323","In favor of Plaintiff with reference to IPC Section 378, 323."
2931,Civil Dispute,Family Court,Justice Nair,2016-06-09,Party_457,Party_553,Legal dispute over civil dispute issue.,"Arguments presented based on IPC Section 378, 323.",In favor of Plaintiff,No Appeal,"Constitution of India, Article 21","In favor of Plaintiff with reference to Constitution of India, Article 21."
2932,Corporate Law,District Court,Justice Sharma,2016-08-20,Party_110,Party_571,Legal dispute over corporate law issue.,Arguments presented based on Hindu Marriage Act 1955.,In favor of Defendant,Appeal Dismissed,"Constitution of India, Article 21","In favor of Defendant with reference to Constitution of India, Article 21."
2933,Corporate Law,Supreme Court,Justice Nair,2015-06-15,Party_453,Party_519,Legal dispute over corporate law issue.,Arguments presented based on Hindu Marriage Act 1955.,In favor of Plaintiff,Appeal Pending,"IPC Section 378, 323","In favor of Plaintiff with reference to IPC Section 378, 323."
2934,Constitutional,Family Court,Justice Kumar,2023-02-15,Party_190,Party_970,Legal dispute over constitutional issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",Guilty,Appeal Pending,"IPC Section 378, 323","Guilty with reference to IPC Section 378, 323."
2935,Criminal Case,Family Court,Justice Mehta,2022-12-15,Party_141,Party_549,Legal dispute over criminal case issue.,Arguments presented based on Companies Act 2013.,In favor of Plaintiff,Appeal Dismissed,Companies Act 2013,In favor of Plaintiff with reference to Companies Act 2013.
2936,Constitutional,High Court,Justice Sharma,2023-12-19,Party_202,Party_605,Legal dispute over constitutional issue.,"Arguments presented based on Constitution of India, Article 21.",Joint Custody,Appeal Pending,"Article 300A, Transfer of Property Act 1882","Joint Custody with reference to Article 300A, Transfer of Property Act 1882."
2937,Criminal Case,NCLT,Justice Sharma,2019-12-15,Party_351,Party_780,Legal dispute over criminal case issue.,Arguments presented based on Hindu Marriage Act 1955.,In favor of Defendant,No Appeal,"Constitution of India, Article 21","In favor of Defendant with reference to Constitution of India, Article 21."
2938,Constitutional,Supreme Court,Justice Kumar,2023-01-06,Party_16,Party_781,Legal dispute over constitutional issue.,"Arguments presented based on Constitution of India, Article 21.",In favor of Plaintiff,Appeal Pending,"Constitution of India, Article 21","In favor of Plaintiff with reference to Constitution of India, Article 21."
2939,Constitutional,NCLT,Justice Reddy,2016-10-30,Party_175,Party_955,Legal dispute over constitutional issue.,"Arguments presented based on IPC Section 378, 323.",In favor of Defendant,Appeal Dismissed,"Article 300A, Transfer of Property Act 1882","In favor of Defendant with reference to Article 300A, Transfer of Property Act 1882."
2940,Family Law,High Court,Justice Reddy,2018-10-23,Party_420,Party_716,Legal dispute over family law issue.,"Arguments presented based on IPC Section 378, 323.",Joint Custody,Appeal Pending,"Article 300A, Transfer of Property Act 1882","Joint Custody with reference to Article 300A, Transfer of Property Act 1882."
2941,Family Law,High Court,Justice Kumar,2019-12-19,Party_464,Party_522,Legal dispute over family law issue.,"Arguments presented based on IPC Section 378, 323.",Guilty,Appeal Pending,Hindu Marriage Act 1955,Guilty with reference to Hindu Marriage Act 1955.
2942,Corporate Law,High Court,Justice Mehta,2016-10-02,Party_202,Party_808,Legal dispute over corporate law issue.,Arguments presented based on Companies Act 2013.,In favor of Plaintiff,No Appeal,"Constitution of India, Article 21","In favor of Plaintiff with reference to Constitution of India, Article 21."
2943,Family Law,NCLT,Justice Kumar,2017-09-04,Party_358,Party_772,Legal dispute over family law issue.,"Arguments presented based on Constitution of India, Article 21.",Guilty,Appeal Dismissed,"Article 300A, Transfer of Property Act 1882","Guilty with reference to Article 300A, Transfer of Property Act 1882."
2944,Civil Dispute,High Court,Justice Kumar,2019-11-14,Party_211,Party_629,Legal dispute over civil dispute issue.,Arguments presented based on Hindu Marriage Act 1955.,In favor of Plaintiff,Appeal Pending,Hindu Marriage Act 1955,In favor of Plaintiff with reference to Hindu Marriage Act 1955.
2945,Corporate Law,Supreme Court,Justice Sharma,2015-09-02,Party_74,Party_985,Legal dispute over corporate law issue.,"Arguments presented based on IPC Section 378, 323.",Joint Custody,Appeal Pending,Companies Act 2013,Joint Custody with reference to Companies Act 2013.
2946,Corporate Law,District Court,Justice Nair,2018-01-23,Party_210,Party_613,Legal dispute over corporate law issue.,Arguments presented based on Hindu Marriage Act 1955.,In favor of Defendant,Appeal Pending,Companies Act 2013,In favor of Defendant with reference to Companies Act 2013.
2947,Corporate Law,District Court,Justice Mehta,2016-03-31,Party_397,Party_555,Legal dispute over corporate law issue.,Arguments presented based on Hindu Marriage Act 1955.,Joint Custody,Appeal Dismissed,Companies Act 2013,Joint Custody with reference to Companies Act 2013.
2948,Family Law,NCLT,Justice Nair,2016-12-24,Party_137,Party_980,Legal dispute over family law issue.,"Arguments presented based on Constitution of India, Article 21.",Joint Custody,Appeal Pending,"Constitution of India, Article 21","Joint Custody with reference to Constitution of India, Article 21."
2949,Family Law,NCLT,Justice Mehta,2023-06-06,Party_337,Party_823,Legal dispute over family law issue.,Arguments presented based on Hindu Marriage Act 1955.,Guilty,Appeal Pending,"Constitution of India, Article 21","Guilty with reference to Constitution of India, Article 21."
2950,Criminal Case,District Court,Justice Reddy,2015-09-20,Party_142,Party_666,Legal dispute over criminal case issue.,Arguments presented based on Companies Act 2013.,In favor of Defendant,Appeal Dismissed,"Constitution of India, Article 21","In favor of Defendant with reference to Constitution of India, Article 21."
2951,Civil Dispute,High Court,Justice Reddy,2022-12-07,Party_228,Party_869,Legal dispute over civil dispute issue.,"Arguments presented based on IPC Section 378, 323.",Guilty,Appeal Pending,Companies Act 2013,Guilty with reference to Companies Act 2013.
2952,Corporate Law,Supreme Court,Justice Kumar,2023-11-10,Party_432,Party_818,Legal dispute over corporate law issue.,"Arguments presented based on IPC Section 378, 323.",In favor of Defendant,Appeal Dismissed,"Constitution of India, Article 21","In favor of Defendant with reference to Constitution of India, Article 21."
2953,Constitutional,NCLT,Justice Reddy,2023-12-24,Party_427,Party_686,Legal dispute over constitutional issue.,Arguments presented based on Companies Act 2013.,Not Guilty,Appeal Pending,"Constitution of India, Article 21","Not Guilty with reference to Constitution of India, Article 21."
2954,Criminal Case,High Court,Justice Mehta,2015-11-23,Party_377,Party_670,Legal dispute over criminal case issue.,"Arguments presented based on Constitution of India, Article 21.",Not Guilty,Appeal Pending,Companies Act 2013,Not Guilty with reference to Companies Act 2013.
2955,Family Law,High Court,Justice Nair,2015-02-20,Party_171,Party_793,Legal dispute over family law issue.,"Arguments presented based on IPC Section 378, 323.",Not Guilty,Appeal Dismissed,Companies Act 2013,Not Guilty with reference to Companies Act 2013.
2956,Criminal Case,Supreme Court,Justice Sharma,2024-03-21,Party_177,Party_549,Legal dispute over criminal case issue.,"Arguments presented based on Constitution of India, Article 21.",Joint Custody,Appeal Pending,Hindu Marriage Act 1955,Joint Custody with reference to Hindu Marriage Act 1955.
2957,Constitutional,Supreme Court,Justice Sharma,2018-09-18,Party_234,Party_646,Legal dispute over constitutional issue.,Arguments presented based on Hindu Marriage Act 1955.,Joint Custody,Appeal Dismissed,"Constitution of India, Article 21","Joint Custody with reference to Constitution of India, Article 21."
2958,Criminal Case,High Court,Justice Nair,2015-01-29,Party_249,Party_506,Legal dispute over criminal case issue.,"Arguments presented based on Constitution of India, Article 21.",Not Guilty,Appeal Dismissed,"IPC Section 378, 323","Not Guilty with reference to IPC Section 378, 323."
2959,Civil Dispute,District Court,Justice Kumar,2016-06-10,Party_204,Party_703,Legal dispute over civil dispute issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",Joint Custody,Appeal Dismissed,"IPC Section 378, 323","Joint Custody with reference to IPC Section 378, 323."
2960,Civil Dispute,NCLT,Justice Reddy,2020-03-23,Party_282,Party_691,Legal dispute over civil dispute issue.,Arguments presented based on Companies Act 2013.,Guilty,Appeal Pending,Companies Act 2013,Guilty with reference to Companies Act 2013.
2961,Constitutional,NCLT,Justice Mehta,2019-07-16,Party_422,Party_886,Legal dispute over constitutional issue.,Arguments presented based on Companies Act 2013.,In favor of Plaintiff,No Appeal,"IPC Section 378, 323","In favor of Plaintiff with reference to IPC Section 378, 323."
2962,Civil Dispute,Family Court,Justice Mehta,2024-10-13,Party_248,Party_893,Legal dispute over civil dispute issue.,"Arguments presented based on Constitution of India, Article 21.",In favor of Defendant,Appeal Dismissed,"IPC Section 378, 323","In favor of Defendant with reference to IPC Section 378, 323."
2963,Constitutional,High Court,Justice Kumar,2016-11-14,Party_151,Party_542,Legal dispute over constitutional issue.,Arguments presented based on Hindu Marriage Act 1955.,In favor of Defendant,No Appeal,Companies Act 2013,In favor of Defendant with reference to Companies Act 2013.
2964,Civil Dispute,High Court,Justice Reddy,2017-10-23,Party_171,Party_614,Legal dispute over civil dispute issue.,Arguments presented based on Hindu Marriage Act 1955.,Joint Custody,Appeal Dismissed,"Constitution of India, Article 21","Joint Custody with reference to Constitution of India, Article 21."
2965,Corporate Law,NCLT,Justice Sharma,2021-07-05,Party_43,Party_740,Legal dispute over corporate law issue.,"Arguments presented based on Constitution of India, Article 21.",In favor of Defendant,No Appeal,Companies Act 2013,In favor of Defendant with reference to Companies Act 2013.
2966,Family Law,NCLT,Justice Reddy,2021-09-12,Party_428,Party_558,Legal dispute over family law issue.,"Arguments presented based on IPC Section 378, 323.",Not Guilty,Appeal Dismissed,"Constitution of India, Article 21","Not Guilty with reference to Constitution of India, Article 21."
2967,Corporate Law,High Court,Justice Reddy,2017-04-11,Party_346,Party_792,Legal dispute over corporate law issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",Not Guilty,Appeal Pending,"IPC Section 378, 323","Not Guilty with reference to IPC Section 378, 323."
2968,Constitutional,NCLT,Justice Sharma,2016-02-14,Party_27,Party_813,Legal dispute over constitutional issue.,"Arguments presented based on IPC Section 378, 323.",Not Guilty,No Appeal,"IPC Section 378, 323","Not Guilty with reference to IPC Section 378, 323."
2969,Corporate Law,Family Court,Justice Mehta,2024-12-18,Party_250,Party_952,Legal dispute over corporate law issue.,"Arguments presented based on Constitution of India, Article 21.",Guilty,Appeal Dismissed,Companies Act 2013,Guilty with reference to Companies Act 2013.
2970,Criminal Case,High Court,Justice Kumar,2024-05-17,Party_450,Party_698,Legal dispute over criminal case issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",Joint Custody,Appeal Pending,"Article 300A, Transfer of Property Act 1882","Joint Custody with reference to Article 300A, Transfer of Property Act 1882."
2971,Constitutional,High Court,Justice Reddy,2020-08-15,Party_420,Party_805,Legal dispute over constitutional issue.,"Arguments presented based on Constitution of India, Article 21.",In favor of Plaintiff,No Appeal,"Article 300A, Transfer of Property Act 1882","In favor of Plaintiff with reference to Article 300A, Transfer of Property Act 1882."
2972,Criminal Case,NCLT,Justice Sharma,2015-01-06,Party_168,Party_511,Legal dispute over criminal case issue.,"Arguments presented based on IPC Section 378, 323.",In favor of Plaintiff,Appeal Dismissed,Companies Act 2013,In favor of Plaintiff with reference to Companies Act 2013.
2973,Constitutional,High Court,Justice Mehta,2017-07-28,Party_113,Party_547,Legal dispute over constitutional issue.,"Arguments presented based on Constitution of India, Article 21.",Guilty,No Appeal,"Constitution of India, Article 21","Guilty with reference to Constitution of India, Article 21."
2974,Criminal Case,District Court,Justice Nair,2024-07-01,Party_39,Party_615,Legal dispute over criminal case issue.,Arguments presented based on Hindu Marriage Act 1955.,Guilty,Appeal Pending,Hindu Marriage Act 1955,Guilty with reference to Hindu Marriage Act 1955.
2975,Family Law,Family Court,Justice Reddy,2016-01-21,Party_329,Party_722,Legal dispute over family law issue.,Arguments presented based on Companies Act 2013.,In favor of Defendant,Appeal Dismissed,Companies Act 2013,In favor of Defendant with reference to Companies Act 2013.
2976,Corporate Law,High Court,Justice Mehta,2015-06-20,Party_464,Party_705,Legal dispute over corporate law issue.,"Arguments presented based on IPC Section 378, 323.",In favor of Defendant,Appeal Pending,"IPC Section 378, 323","In favor of Defendant with reference to IPC Section 378, 323."
2977,Civil Dispute,High Court,Justice Mehta,2015-09-25,Party_103,Party_849,Legal dispute over civil dispute issue.,"Arguments presented based on Constitution of India, Article 21.",In favor of Defendant,Appeal Pending,Hindu Marriage Act 1955,In favor of Defendant with reference to Hindu Marriage Act 1955.
2978,Family Law,Supreme Court,Justice Sharma,2017-05-04,Party_193,Party_778,Legal dispute over family law issue.,Arguments presented based on Companies Act 2013.,In favor of Defendant,Appeal Dismissed,Companies Act 2013,In favor of Defendant with reference to Companies Act 2013.
2979,Constitutional,High Court,Justice Reddy,2023-05-30,Party_279,Party_705,Legal dispute over constitutional issue.,"Arguments presented based on Constitution of India, Article 21.",Guilty,Appeal Dismissed,"Constitution of India, Article 21","Guilty with reference to Constitution of India, Article 21."
2980,Constitutional,Supreme Court,Justice Mehta,2016-04-25,Party_141,Party_803,Legal dispute over constitutional issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",Guilty,Appeal Pending,"Article 300A, Transfer of Property Act 1882","Guilty with reference to Article 300A, Transfer of Property Act 1882."
2981,Corporate Law,High Court,Justice Mehta,2017-11-25,Party_125,Party_985,Legal dispute over corporate law issue.,Arguments presented based on Hindu Marriage Act 1955.,In favor of Defendant,Appeal Dismissed,"Constitution of India, Article 21","In favor of Defendant with reference to Constitution of India, Article 21."
2982,Criminal Case,High Court,Justice Sharma,2021-08-03,Party_388,Party_696,Legal dispute over criminal case issue.,"Arguments presented based on Constitution of India, Article 21.",Not Guilty,Appeal Pending,"IPC Section 378, 323","Not Guilty with reference to IPC Section 378, 323."
2983,Criminal Case,NCLT,Justice Nair,2019-09-17,Party_320,Party_809,Legal dispute over criminal case issue.,Arguments presented based on Hindu Marriage Act 1955.,Guilty,Appeal Pending,Companies Act 2013,Guilty with reference to Companies Act 2013.
2984,Criminal Case,Family Court,Justice Mehta,2022-07-24,Party_286,Party_579,Legal dispute over criminal case issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",Guilty,Appeal Pending,"IPC Section 378, 323","Guilty with reference to IPC Section 378, 323."
2985,Corporate Law,Family Court,Justice Mehta,2023-08-24,Party_8,Party_917,Legal dispute over corporate law issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",In favor of Plaintiff,No Appeal,Hindu Marriage Act 1955,In favor of Plaintiff with reference to Hindu Marriage Act 1955.
2986,Civil Dispute,NCLT,Justice Sharma,2017-09-21,Party_327,Party_617,Legal dispute over civil dispute issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",Not Guilty,Appeal Dismissed,Companies Act 2013,Not Guilty with reference to Companies Act 2013.
2987,Constitutional,District Court,Justice Mehta,2021-08-03,Party_178,Party_548,Legal dispute over constitutional issue.,Arguments presented based on Hindu Marriage Act 1955.,In favor of Plaintiff,Appeal Pending,Hindu Marriage Act 1955,In favor of Plaintiff with reference to Hindu Marriage Act 1955.
2988,Civil Dispute,NCLT,Justice Reddy,2024-05-22,Party_459,Party_822,Legal dispute over civil dispute issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",In favor of Plaintiff,Appeal Dismissed,"Article 300A, Transfer of Property Act 1882","In favor of Plaintiff with reference to Article 300A, Transfer of Property Act 1882."
2989,Family Law,Supreme Court,Justice Reddy,2020-11-19,Party_277,Party_506,Legal dispute over family law issue.,Arguments presented based on Companies Act 2013.,Joint Custody,Appeal Dismissed,"IPC Section 378, 323","Joint Custody with reference to IPC Section 378, 323."
2990,Corporate Law,Supreme Court,Justice Mehta,2020-04-20,Party_32,Party_964,Legal dispute over corporate law issue.,Arguments presented based on Hindu Marriage Act 1955.,In favor of Defendant,No Appeal,"Article 300A, Transfer of Property Act 1882","In favor of Defendant with reference to Article 300A, Transfer of Property Act 1882."
2991,Civil Dispute,District Court,Justice Mehta,2017-10-25,Party_161,Party_642,Legal dispute over civil dispute issue.,"Arguments presented based on IPC Section 378, 323.",In favor of Plaintiff,Appeal Pending,Companies Act 2013,In favor of Plaintiff with reference to Companies Act 2013.
2992,Constitutional,Family Court,Justice Reddy,2018-05-28,Party_354,Party_922,Legal dispute over constitutional issue.,"Arguments presented based on Constitution of India, Article 21.",Not Guilty,Appeal Dismissed,Companies Act 2013,Not Guilty with reference to Companies Act 2013.
2993,Civil Dispute,NCLT,Justice Nair,2017-05-07,Party_189,Party_713,Legal dispute over civil dispute issue.,Arguments presented based on Hindu Marriage Act 1955.,Not Guilty,Appeal Pending,"IPC Section 378, 323","Not Guilty with reference to IPC Section 378, 323."
2994,Civil Dispute,High Court,Justice Reddy,2015-07-20,Party_146,Party_783,Legal dispute over civil dispute issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",Not Guilty,No Appeal,"Constitution of India, Article 21","Not Guilty with reference to Constitution of India, Article 21."
2995,Corporate Law,Family Court,Justice Kumar,2021-02-27,Party_273,Party_718,Legal dispute over corporate law issue.,Arguments presented based on Companies Act 2013.,In favor of Plaintiff,Appeal Pending,"Article 300A, Transfer of Property Act 1882","In favor of Plaintiff with reference to Article 300A, Transfer of Property Act 1882."
2996,Criminal Case,Supreme Court,Justice Reddy,2016-04-23,Party_491,Party_830,Legal dispute over criminal case issue.,Arguments presented based on Companies Act 2013.,Guilty,Appeal Pending,"IPC Section 378, 323","Guilty with reference to IPC Section 378, 323."
2997,Civil Dispute,High Court,Justice Sharma,2018-08-15,Party_348,Party_536,Legal dispute over civil dispute issue.,Arguments presented based on Hindu Marriage Act 1955.,Guilty,No Appeal,Hindu Marriage Act 1955,Guilty with reference to Hindu Marriage Act 1955.
2998,Family Law,Supreme Court,Justice Sharma,2020-06-10,Party_103,Party_727,Legal dispute over family law issue.,"Arguments presented based on Constitution of India, Article 21.",Joint Custody,No Appeal,Hindu Marriage Act 1955,Joint Custody with reference to Hindu Marriage Act 1955.
2999,Criminal Case,Supreme Court,Justice Mehta,2018-08-17,Party_288,Party_928,Legal dispute over criminal case issue.,"Arguments presented based on IPC Section 378, 323.",Not Guilty,Appeal Dismissed,"Article 300A, Transfer of Property Act 1882","Not Guilty with reference to Article 300A, Transfer of Property Act 1882."
3000,Criminal Case,High Court,Justice Kumar,2024-05-23,Party_289,Party_735,Legal dispute over criminal case issue.,"Arguments presented based on Constitution of India, Article 21.",In favor of Plaintiff,Appeal Dismissed,Hindu Marriage Act 1955,In favor of Plaintiff with reference to Hindu Marriage Act 1955.
3001,Civil Dispute,Family Court,Justice Kumar,2017-11-26,Party_374,Party_809,Legal dispute over civil dispute issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",Guilty,Appeal Pending,"Article 300A, Transfer of Property Act 1882","Guilty with reference to Article 300A, Transfer of Property Act 1882."
3002,Civil Dispute,Supreme Court,Justice Kumar,2024-06-26,Party_65,Party_711,Legal dispute over civil dispute issue.,Arguments presented based on Hindu Marriage Act 1955.,Guilty,Appeal Dismissed,"IPC Section 378, 323","Guilty with reference to IPC Section 378, 323."
3003,Family Law,District Court,Justice Reddy,2023-10-18,Party_130,Party_669,Legal dispute over family law issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",Guilty,Appeal Pending,"Article 300A, Transfer of Property Act 1882","Guilty with reference to Article 300A, Transfer of Property Act 1882."
3004,Criminal Case,District Court,Justice Mehta,2017-02-27,Party_426,Party_630,Legal dispute over criminal case issue.,"Arguments presented based on IPC Section 378, 323.",In favor of Plaintiff,Appeal Dismissed,Hindu Marriage Act 1955,In favor of Plaintiff with reference to Hindu Marriage Act 1955.
3005,Family Law,Family Court,Justice Reddy,2023-10-08,Party_300,Party_637,Legal dispute over family law issue.,Arguments presented based on Companies Act 2013.,Not Guilty,Appeal Dismissed,Companies Act 2013,Not Guilty with reference to Companies Act 2013.
3006,Family Law,Family Court,Justice Sharma,2021-01-31,Party_358,Party_871,Legal dispute over family law issue.,Arguments presented based on Hindu Marriage Act 1955.,Not Guilty,No Appeal,Companies Act 2013,Not Guilty with reference to Companies Act 2013.
3007,Corporate Law,NCLT,Justice Reddy,2015-08-28,Party_389,Party_723,Legal dispute over corporate law issue.,Arguments presented based on Companies Act 2013.,In favor of Defendant,No Appeal,"IPC Section 378, 323","In favor of Defendant with reference to IPC Section 378, 323."
3008,Criminal Case,Supreme Court,Justice Reddy,2022-04-25,Party_349,Party_586,Legal dispute over criminal case issue.,Arguments presented based on Hindu Marriage Act 1955.,Guilty,Appeal Pending,Companies Act 2013,Guilty with reference to Companies Act 2013.
3009,Civil Dispute,NCLT,Justice Kumar,2016-05-07,Party_488,Party_975,Legal dispute over civil dispute issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",Not Guilty,No Appeal,"Constitution of India, Article 21","Not Guilty with reference to Constitution of India, Article 21."
3010,Criminal Case,Supreme Court,Justice Nair,2016-05-13,Party_450,Party_847,Legal dispute over criminal case issue.,"Arguments presented based on IPC Section 378, 323.",In favor of Plaintiff,Appeal Dismissed,"Constitution of India, Article 21","In favor of Plaintiff with reference to Constitution of India, Article 21."
3011,Civil Dispute,District Court,Justice Sharma,2015-07-02,Party_463,Party_883,Legal dispute over civil dispute issue.,Arguments presented based on Hindu Marriage Act 1955.,In favor of Plaintiff,No Appeal,Companies Act 2013,In favor of Plaintiff with reference to Companies Act 2013.
3012,Corporate Law,NCLT,Justice Nair,2017-11-13,Party_360,Party_570,Legal dispute over corporate law issue.,Arguments presented based on Companies Act 2013.,Not Guilty,Appeal Pending,"IPC Section 378, 323","Not Guilty with reference to IPC Section 378, 323."
3013,Criminal Case,NCLT,Justice Reddy,2015-08-16,Party_270,Party_894,Legal dispute over criminal case issue.,"Arguments presented based on Constitution of India, Article 21.",Joint Custody,Appeal Dismissed,Hindu Marriage Act 1955,Joint Custody with reference to Hindu Marriage Act 1955.
3014,Criminal Case,Supreme Court,Justice Mehta,2022-09-15,Party_173,Party_999,Legal dispute over criminal case issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",In favor of Plaintiff,Appeal Dismissed,Companies Act 2013,In favor of Plaintiff with reference to Companies Act 2013.
3015,Civil Dispute,Supreme Court,Justice Sharma,2016-01-10,Party_376,Party_543,Legal dispute over civil dispute issue.,"Arguments presented based on Constitution of India, Article 21.",In favor of Defendant,Appeal Pending,Companies Act 2013,In favor of Defendant with reference to Companies Act 2013.
3016,Corporate Law,Family Court,Justice Sharma,2017-09-08,Party_49,Party_821,Legal dispute over corporate law issue.,Arguments presented based on Hindu Marriage Act 1955.,In favor of Plaintiff,Appeal Dismissed,"Article 300A, Transfer of Property Act 1882","In favor of Plaintiff with reference to Article 300A, Transfer of Property Act 1882."
